18;;;;;;;;;;;;;;;;;
0.2;;;;;;;;;;;;;;;;;
0.36;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;
0;5;10;5;5;1;1;1;10;1;5;1;10;1;1;1;1;1
5;0;5;5;5;1;1;1;10;1;5;1;5;1;1;1;1;1
10;5;0;5;5;1;1;1;10;1;5;1;10;1;1;1;1;1
5;5;5;0;5;1;1;1;5;1;5;1;5;1;1;1;1;1
5;5;5;5;0;1;1;1;5;1;5;1;5;1;1;1;1;1
1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
10;5;10;5;5;1;1;1;0;1;5;1;10;1;1;1;1;1
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
5;5;5;5;5;1;1;1;5;1;0;1;5;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
10;5;10;5;5;1;1;1;10;1;5;1;0;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
104;610;666;174;655;458;235;895;649;720;724;627;752;764;751;505;796;764
101;470;716;993;395;778;822;216;375;669;145;609;305;222;155;209;680;829
924;203;340;159;905;100;346;132;401;779;207;743;680;810;502;604;891;689
800;645;386;760;854;287;140;947;135;107;926;694;654;183;564;538;763;109
624;532;181;867;360;434;807;118;662;284;612;901;635;229;707;558;740;275
494;428;332;422;158;756;521;266;443;169;631;721;433;746;406;720;954;198
328;504;614;892;277;229;210;106;972;924;605;620;133;221;400;242;920;550
101;308;752;422;536;981;793;287;488;980;540;703;783;701;602;721;620;142
985;178;287;835;416;888;260;783;449;741;449;568;815;816;913;521;631;792
917;354;794;170;478;544;654;433;936;805;516;367;786;800;903;345;265;995
632;565;441;709;336;667;341;275;423;362;663;573;763;827;312;739;989;334
854;830;964;381;765;853;375;444;201;886;245;392;452;322;666;616;637;389
224;566;444;412;382;370;247;564;195;508;454;624;382;836;249;208;527;357
595;356;730;961;436;879;966;236;508;225;780;652;306;739;763;695;851;480
946;202;175;139;639;841;350;458;476;692;693;244;101;723;360;956;827;306
663;350;478;546;960;871;417;708;463;905;830;409;991;716;321;920;181;158
869;557;540;867;938;108;888;895;286;871;405;360;997;264;347;608;787;939
392;238;666;418;417;353;313;185;462;599;848;328;327;907;806;859;644;443
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

